:: ERROR: Unable to proceed: no support for sourcing from '[dash|sh]' shell.
   This script must be sourced. Did you execute or source this script?
   Can be caused by sourcing from inside a "shebang-less" script.
   Can also be caused by sourcing from ZSH version 4.x or older.
LAMMPS (2 Aug 2023)
WARNING: Using I/O redirection is unreliable with parallel runs. Better to use the -in switch to read input files. (../lammps.cpp:537)
Reading restart file ...
  restart file = 2 Aug 2023, LAMMPS = 2 Aug 2023
  restoring atom style full from restart
  orthogonal box = (1.3688094 1.3688094 1.3688094) to (42.256959 42.256959 42.256959)
  2 by 2 by 3 MPI processor grid
  restoring pair style lj/cut/coul/long from restart
  restoring bond style harmonic from restart
  restoring angle style harmonic from restart
  3000 atoms
  2000 bonds
  1000 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.002 seconds
  read_restart CPU = 0.014 seconds
2000 atoms in group carb
1000 atoms in group oxy
Finding SHAKE clusters ...
       0 = # of size 2 clusters
    1000 = # of size 3 clusters
       0 = # of size 4 clusters
       0 = # of frozen angles
  find clusters CPU = 0.002 seconds
Resetting global fix info from restart file:
  fix style: npt, fix ID: runnpt
Resetting global fix info from restart file:
  fix style: npt, fix ID: runnpt
PPPM initialization ...
  using 12-bit tables for long-range coulomb (../kspace.cpp:342)
  G vector (1/distance) = 0.22940094
  grid = 32 32 32
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00036424429
  estimated relative force accuracy = 1.0969109e-06
  using double precision KISS FFT
  3d grid and FFT values/proc = 10051 3072
Generated 1 of 1 mixed pair_coeff terms from geometric mixing rule
All restart file global fix info was re-assigned
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 17
  ghost atom cutoff = 17
  binsize = 8.5, bins = 5 5 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/coul/long, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : real
  Current step  : 15000000
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 8.968 | 9.285 | 9.35 Mbytes
   Step         PotEng         KinEng         TotEng         Press           Temp           c_2            c_3            c_5      
  15069000  -1657.2472      1782.3003      125.05309      89.858495      256.36336      177.15012      31384.285      1.1489976    
  15069500  -1674.5656      1771.1586      96.592927      34.757356      254.76075      177.2062       31404.148      1.1489948    
  15070000  -1659.6318      1754.488       94.856243     -5.8524957      252.36289      177.1738       31392.674      1.1489989    
  15070500  -1679.1343      1682.8169      3.6825505      157.14154      242.05382      177.21701      31407.873      1.1489976    
  15071000  -1694.3887      1717.6226      23.233889     -26.489689      247.06022      177.19299      31399.344      1.149        
  15071500  -1716.8567      1735.0795      18.222786      240.53982      249.5712       177.2295       31412.357      1.149002     
  15072000  -1639.4975      1733.0579      93.560393      153.06488      249.28041      177.21737      31408.148      1.1490318    
  15072500  -1607.3189      1757.7576      150.43871      43.97846       252.83317      177.17262      31392.307      1.1490006    
  15073000  -1642.5311      1811.2017      168.67056     -33.432881      260.52049      177.19438      31400.038      1.1489802    
  15073500  -1597.1516      1796.8375      199.68595      170.58567      258.45437      177.15876      31387.61       1.148993     
  15074000  -1642.6625      1794.8605      152.19796      88.427397      258.17         177.20521      31403.712      1.1490011    
  15074500  -1616.5006      1791.7583      175.25772      149.81958      257.72379      177.14563      31382.875      1.1490178    
  15075000  -1676.7637      1756.8375      80.073793     -70.830032      252.70083      177.20609      31404.098      1.1489907    
  15075500  -1575.7693      1784.262       208.49277      108.52055      256.64553      177.1511       31384.7        1.1490019    
  15076000  -1619.076       1729.4992      110.42316      77.759141      248.76853      177.20822      31404.951      1.1489914    
  15076500  -1647.4486      1779.3556      131.90698      75.599908      255.9398       177.24189      31416.897      1.1489978    
  15077000  -1622.0403      1747.0667      125.02643      57.013166      251.29542      177.1452       31382.551      1.1489946    
  15077500  -1719.0443      1778.1972      59.152881     -68.829595      255.77318      177.28992      31433.808      1.1489951    
  15078000  -1727.6717      1746.4199      18.748183      75.312586      251.20238      177.20819      31404.822      1.1489991    
  15078500  -1713.9423      1750.4159      36.473596     -92.316255      251.77716      177.26584      31425.413      1.1490116    
  15079000  -1675.7786      1743.8577      68.079115      141.32644      250.83384      177.17459      31393.001      1.1489916    
  15079500  -1703.9206      1783.3731      79.45249       35.051205      256.51767      177.23466      31414.114      1.1490024    
  15080000  -1669.0234      1794.3108      125.2874       57.798765      258.09093      177.17611      31393.445      1.1490063    
  15080500  -1639.4172      1789.6671      150.24989      148.54209      257.42299      177.16452      31389.609      1.1489972    
  15081000  -1681.1478      1777.8849      96.73706       186.54306      255.72825      177.24899      31419.236      1.149001     
  15081500  -1606.0096      1726.6644      120.65476      30.932517      248.36078      177.14717      31383.231      1.1490156    
  15082000  -1633.5783      1763.331       129.75273     -27.71029       253.63485      177.20251      31402.872      1.1490026    
  15082500  -1560.5186      1751.6945      191.17593     -49.44252       251.96108      177.12582      31375.637      1.1490189    
  15083000  -1576.7911      1763.6797      186.88863     -25.120175      253.68501      177.15972      31387.71       1.1489879    
  15083500  -1636.2238      1727.6143      91.39046       279.09656      248.49741      177.21794      31408.26       1.1489934    
  15084000  -1650.5192      1740.2831      89.763903      135.63997      250.31967      177.19508      31400.189      1.1490076    
  15084500  -1651.1689      1709.002       57.833062      145.16917      245.82024      177.21379      31406.939      1.1489919    
  15085000  -1662.0207      1715.8272      53.806508      7.5820709      246.80197      177.24287      31417.096      1.1490074    
  15085500  -1654.1626      1727.8737      73.711103      188.28488      248.53473      177.20099      31402.291      1.1489931    
  15086000  -1667.6722      1794.3872      126.71499      188.63559      258.10192      177.17154      31391.846      1.1490112    
  15086500  -1680.5281      1753.143       72.614903      173.97823      252.16941      177.22765      31411.608      1.1489925    
  15087000  -1686.512       1752.7587      66.246647      22.316175      252.11414      177.19853      31401.556      1.1489999    
  15087500  -1712.2358      1790.1929      77.957107     -102.22693      257.49863      177.21726      31407.976      1.1490183    
  15088000  -1627.1978      1721.4306      94.232792      121.37329      247.60796      177.20483      31403.752      1.1490196    
  15088500  -1555.298       1816.4563      261.15829      163.97901      261.27631      177.09525      31364.917      1.149023     
  15089000  -1581.7243      1810.7181      228.99381      98.133608      260.45094      177.1728       31392.364      1.1490014    
  15089500  -1573.8196      1742.3426      168.52301      87.241074      250.61591      177.1213       31374.044      1.1489956    
  15090000  -1638.8333      1779.5095      140.67625      9.1258032      255.96194      177.26161      31423.876      1.1489803    
  15090500  -1599.7338      1765.0136      165.27983      130.93894      253.87688      177.09893      31366.105      1.1490005    
  15091000  -1610.4633      1781.8004      171.3371       149.15724      256.29146      177.18745      31397.46       1.149006     
  15091500  -1560.8107      1733.273       172.46234      281.42457      249.31136      177.13122      31377.561      1.1490114    
  15092000  -1592.6937      1724.3985      131.7048       224.26337      248.03485      177.1741       31392.722      1.1489983    
  15092500  -1577.9435      1798.6137      220.67029     -12.538928      258.70986      177.12988      31377.166      1.1489885    
  15093000  -1614.0034      1747.2451      133.2417       255.58188      251.32107      177.1909       31398.827      1.1489976    
  15093500  -1585.5451      1771.7927      186.2476       108.84543      254.85196      177.1531       31385.337      1.1490006    
  15094000  -1541.328       1815.8596      274.5316       117.16642      261.19048      177.16076      31388.188      1.1490072    
  15094500  -1534.0064      1796.4898      262.4834       93.704221      258.40435      177.1362       31379.364      1.1489929    
  15095000  -1571.1695      1775.2374      204.06793      73.832463      255.34745      177.12093      31374.023      1.14899      
  15095500  -1605.3207      1791.8338      186.51311      61.929721      257.73465      177.17096      31391.66       1.1489864    
  15096000  -1649.2363      1725.4741      76.237867      103.81033      248.18957      177.20152      31402.627      1.1489822    
  15096500  -1685.4088      1722.0275      36.618688      96.319451      247.69381      177.20633      31404.125      1.1489801    
  15097000  -1708.2678      1742.9798      34.71192       28.254189      250.70756      177.21048      31405.679      1.1490021    
  15097500  -1747.6855      1755.0331      7.3476065     -50.658954      252.44129      177.23978      31416.006      1.1490045    
  15098000  -1694.21        1737.6318      43.421816      160.7684       249.93831      177.20172      31402.541      1.1490126    
  15098500  -1647.467       1723.373       75.906048      18.306827      247.88735      177.22599      31411.121      1.1489992    
  15099000  -1678.8423      1730.9139      52.07155      -51.669509      248.97202      177.24989      31419.694      1.1489767    
  15099500  -1724.4411      1760.3613      35.92018       97.314494      253.20769      177.23991      31416.072      1.1490079    
  15100000  -1700.2104      1762.4571      62.246676     -24.481114      253.50915      177.18683      31397.282      1.1490146    
  15100500  -1650.4917      1783.0926      132.60083      204.55701      256.47732      177.19278      31399.393      1.1490176    
  15101000  -1581.3017      1784.6797      203.37792      124.46375      256.7056       177.13213      31378.103      1.1490061    
  15101500  -1625.4553      1757.5455      132.09019      110.34826      252.80267      177.20713      31404.438      1.1489812    
  15102000  -1640.9865      1757.3504      116.36391      285.17157      252.77461      177.19668      31400.797      1.1489895    
  15102500  -1646.1919      1792.2509      146.05894      108.83531      257.79464      177.17788      31394.235      1.149013     
  15103000  -1673.3976      1735.1181      61.720519      111.58582      249.57675      177.24973      31419.625      1.1489981    
  15103500  -1685.6035      1693.1076      7.5041585      76.748312      243.53403      177.24578      31418.165      1.1490008    
  15104000  -1674.2052      1717.3214      43.116247      228.59314      247.0169       177.22358      31410.397      1.1490192    
  15104500  -1618.6198      1693.6241      75.004321     -54.696762      243.60831      177.18872      31397.874      1.1490149    
  15105000  -1582.6642      1725.4251      142.76085     -55.499154      248.18252      177.22231      31409.943      1.1489946    
  15105500  -1570.2273      1718.731       148.50368      89.686302      247.21964      177.1935       31399.743      1.148999     
  15106000  -1615.9406      1699.1355      83.194903     -183.92641      244.40106      177.19535      31400.257      1.1489873    
  15106500  -1667.0843      1745.114       78.029697      137.99668      251.01454      177.24038      31416.205      1.1489835    
  15107000  -1668.1858      1696.6005      28.414633      24.253226      244.03643      177.19492      31400.22       1.1489952    
  15107500  -1697.6369      1735.5768      37.939878      273.56316      249.64272      177.27192      31427.342      1.1490039    
  15108000  -1656.8796      1718.8526      61.97302       21.424276      247.23715      177.19215      31399.235      1.1489966    
  15108500  -1640.2678      1801.1506      160.88287      225.48988      259.07477      177.18982      31398.361      1.1490158    
  15109000  -1608.6899      1774.3183      165.62844      1.4583643      255.21525      177.20977      31405.559      1.1490186    
  15109500  -1591.5458      1730.2979      138.75207      53.400583      248.88341      177.19464      31400.182      1.1490012    
  15110000  -1600.2137      1723.0685      122.85482      20.486945      247.84355      177.18623      31397.193      1.1489764    
  15110500  -1624.0488      1718.9934      94.944538      222.27434      247.25739      177.19051      31398.768      1.1489849    
  15111000  -1687.4241      1751.597       64.172886      274.32724      251.94704      177.20988      31405.418      1.1489837    
  15111500  -1750.6108      1797.1356      46.524793      5.1635571      258.49726      177.2528       31420.638      1.1489917    
  15112000  -1706.0185      1762.2276      56.209046      269.46143      253.47613      177.14559      31382.688      1.1490125    
  15112500  -1752.3067      1724.7602     -27.546524      6.7466697      248.08688      177.27081      31426.945      1.1489964    
  15113000  -1720.3571      1752.2047      31.847529      150.20524      252.03445      177.26358      31424.482      1.1489993    
  15113500  -1680.6956      1786.4457      105.75014      82.187569      256.95964      177.12452      31375.26       1.1489936    
  15114000  -1725.5029      1767.7035      42.20066       58.011285      254.26379      177.2213       31409.389      1.1489937    
  15114500  -1746.4647      1795.9689      49.504122      141.73905      258.32943      177.21121      31405.947      1.1489905    
  15115000  -1769.1896      1793.0499      23.860256      246.02184      257.90956      177.22843      31412.025      1.1489941    
